Nr,Name,pics,Scientific name,Description,Temperature,Nectar,longevity
17,Field Pennycress,100,Thlaspi arvense,"An annual plant with round, flat, winged pods with a deep apical notch.
They can grow up to 60cm. Sadly, this plant offers little in terms of food as only its leaves can be eaten raw. They must have some tasty leaves then right?
Unfortunately, the leaves must be harvested before the plant flowers, and even then they yield a bitter taste!
Common names: field pennycress, bastardcress, bastardweed, dish mustard.An annual plant with round, flat, winged pods with a deep apical notch.
They can grow up to 60cm. Sadly, this plant offers little in terms of food as only its leaves can be eaten raw. They must have some tasty leaves then right?
Unfortunately, the leaves must be harvested before the plant flowers, and even then they yield a bitter taste!
Common names: field pennycress, bastardcress, bastardweed, dish mustard.An annual plant with round, flat, winged pods with a deep apical notch.
They can grow up to 60cm. Sadly, this plant offers little in terms of food as only its leaves can be eaten raw. They must have some tasty leaves then right?
Unfortunately, the leaves must be harvested before the plant flowers, and even then they yield a bitter taste!
Common names: field pennycress, bastardcress, bastardweed, dish mustard.",49.9752,0,1
1,Fireweed,50,Chamerion angustifolium,"Fireweed, or scientifically referred to as Chamerion angustifolium, is an edible plant which is native throughout the Northern Hemisphere.
It is commonly referred to as rosebay willowherbin Britain, and in some parts of Canada as great willowherb.
Fireweed can be easily identified by its smooth and erect reddish stem, and unique leaves which have a vein pattern that is circular and does not discontinue at the end of the leaf.
Fireweed, or scientifically referred to as Chamerion angustifolium, is an edible plant which is native throughout the Northern Hemisphere.
It is commonly referred to as rosebay willowherbin Britain, and in some parts of Canada as great willowherb.
Fireweed can be easily identified by its smooth and erect reddish stem, and unique leaves which have a vein pattern that is circular and does not discontinue at the end of the leaf.
Fireweed, or scientifically referred to as Chamerion angustifolium, is an edible plant which is native throughout the Northern Hemisphere.
It is commonly referred to as rosebay willowherbin Britain, and in some parts of Canada as great willowherb.
Fireweed can be easily identified by its smooth and erect reddish stem, and unique leaves which have a vein pattern that is circular and does not discontinue at the end of the leaf.
",37.0108,0,0
12,Forget Me Not,50,Myosotis sylvatica,"Just the name of this herb should be ensuring enough! Scientifically referred to as Myosotis;the Forget-Me-Not flowers are minuscule, tender and usually blue in colour.
They are more common during Spring. The flowers are the edible part of the plant and is indeed a safe choice for a snack.Just the name of this herb should be ensuring enough! Scientifically referred to as Myosotis;the Forget-Me-Not flowers are minuscule, tender and usually blue in colour.
They are more common during Spring. The flowers are the edible part of the plant and is indeed a safe choice for a snack.Just the name of this herb should be ensuring enough! Scientifically referred to as Myosotis;the Forget-Me-Not flowers are minuscule, tender and usually blue in colour.
They are more common during Spring. The flowers are the edible part of the plant and is indeed a safe choice for a snack.",46.974,0,0
13,Garlic Mustard,100,Alliaria petiolata,"All parts of this plant emit a strong odour. Its flower is only visible from the month of May until June.
The Garlic Mustard plant has broad, kidney-shaped leaves, small flowers and slender pods that contain the seeds. It is classified as an invasive species, in North America, where you are more likely to commonly see it.All parts of this plant emit a strong odour. Its flower is only visible from the month of May until June.
The Garlic Mustard plant has broad, kidney-shaped leaves, small flowers and slender pods that contain the seeds. It is classified as an invasive species, in North America, where you are more likely to commonly see it.All parts of this plant emit a strong odour. Its flower is only visible from the month of May until June.
The Garlic Mustard plant has broad, kidney-shaped leaves, small flowers and slender pods that contain the seeds. It is classified as an invasive species, in North America, where you are more likely to commonly see it.",38.5216,0,0
15,Harebell,50,Campanula rotundifolia,"This beautiful plant is relatively small in size and can be identified by its slender stems, the white sap discharged by the stems, and its sagging blue flowers. 
Harebell’s can range from 30cm to 60cm in height. Your best bet would be to eat the leaves of this plant if needs be. This should be nutritious as the Harebell contains vitamin C.This beautiful plant is relatively small in size and can be identified by its slender stems, the white sap discharged by the stems, and its sagging blue flowers. 
Harebell’s can range from 30cm to 60cm in height. Your best bet would be to eat the leaves of this plant if needs be. This should be nutritious as the Harebell contains vitamin C.This beautiful plant is relatively small in size and can be identified by its slender stems, the white sap discharged by the stems, and its sagging blue flowers. 
Harebell’s can range from 30cm to 60cm in height. Your best bet would be to eat the leaves of this plant if needs be. This should be nutritious as the Harebell contains vitamin C.",38.2364,0,0
51,Henbit,150,Lamium amplexicaule,"You can identify this plant by its soft, finely hairy stems.
The leaves have a lobed margin and the flowers are pink to purple in colour. Its name is derived from the observation that chickens are fond of it.
It is more likely to grow in light, dry soil as well as cultivated soil. Henbit is very nutritious as it is high in vitamins, iron and fibre.You can identify this plant by its soft, finely hairy stems.
The leaves have a lobed margin and the flowers are pink to purple in colour. Its name is derived from the observation that chickens are fond of it.
It is more likely to grow in light, dry soil as well as cultivated soil. Henbit is very nutritious as it is high in vitamins, iron and fibre.You can identify this plant by its soft, finely hairy stems.
The leaves have a lobed margin and the flowers are pink to purple in colour. Its name is derived from the observation that chickens are fond of it.
It is more likely to grow in light, dry soil as well as cultivated soil. Henbit is very nutritious as it is high in vitamins, iron and fibre.",45.81269231,0,0
39,Herb Robert,50,Geranium robertianum,"Its many medicinal uses include: toothache and nosebleed remedy, and healing wounds. Freshly picked leaves release a strong odour when crushed, and is said to repel mosquitos if you rub it on your skin. The entire plant is edible and fresh leaves can be used in your salad or to make tea.",38.75692308,0,0
56,Japanese Knotweed,50,Fallopia japonica,"A large plant that has been classified as an invasive species by many countries, the Japanese Knotweed has hollow stems and broad oval leaves.

They have a rapid growth rate with stems reaching a maximum height of 9.8-13ft each growing season.

It is best to eat the young shoots of this plant-which some say has a lemony flavour.A large plant that has been classified as an invasive species by many countries, the Japanese Knotweed has hollow stems and broad oval leaves.

They have a rapid growth rate with stems reaching a maximum height of 9.8-13ft each growing season.

It is best to eat the young shoots of this plant-which some say has a lemony flavour.A large plant that has been classified as an invasive species by many countries, the Japanese Knotweed has hollow stems and broad oval leaves.

They have a rapid growth rate with stems reaching a maximum height of 9.8-13ft each growing season.

It is best to eat the young shoots of this plant-which some say has a lemony flavour.",38.03730769,0,4
41,Joe Pye Weed,50,Eutrochium fistulosum,"This plant can be described as an herb, a wildflower, and a butterfly plant. You can identify it by its beautiful pink, and sometimes purple flowers at the end of the stems.
It can be found in moist woods and along streams. The entire plant, including the root, is edible.This plant can be described as an herb, a wildflower, and a butterfly plant. You can identify it by its beautiful pink, and sometimes purple flowers at the end of the stems.
It can be found in moist woods and along streams. The entire plant, including the root, is edible.This plant can be described as an herb, a wildflower, and a butterfly plant. You can identify it by its beautiful pink, and sometimes purple flowers at the end of the stems.
It can be found in moist woods and along streams. The entire plant, including the root, is edible.",41.6532,0,0
42,Knapweed,50,Centaurea nigra,"The flowers of these plants are diverse in colour, ranging from deep reds, blues and yellows to any mixture of these. The stems are ribbed and may become hairless as they age. You are more likely to find them in pastures, meadows and woodland edges. Please be mindful that only the flowers are edible.",38.8204,51,12
19,Kudzu,50,Pueraria montana,"A yellow-green vine with large leaves which are shed annually. The speedy growth rate of these vines leave them with the tendency to be invasive and they are considered noxious weeds. Not a plant I would want growing in my back yard, but definitely one I can depend on in a crisis as it is entirely edible.",41.6688,0,11
58,Lambs Quarters,150,Chenopodium album,"This is a dusty looking plant from a distance due to a white coating on its leaves.
It is common near rivers, streams, and in gardens with an average height of 1 metre.
Bear in mind that the leaves, shoots, seeds and flowers of this plant are all edible. 
However, due to potentially toxic components, it would be best if you consumed these in small quantities, especially if consuming them rawThis is a dusty looking plant from a distance due to a white coating on its leaves.
It is common near rivers, streams, and in gardens with an average height of 1 metre.
Bear in mind that the leaves, shoots, seeds and flowers of this plant are all edible. 
However, due to potentially toxic components, it would be best if you consumed these in small quantities, especially if consuming them raw",43.8584,31,0
21,Mallow,50,Malva sylvestris,"One of the earliest plants cited in literature, the Mallow, or scientifically referred to as “Malva”, is a low growing weed with a deep fleshy tap root.
The plant is totally edible, its leaves can be used as a substitute for lettuce and are an excellent source of vitamins A and C, calcium and iron.One of the earliest plants cited in literature, the Mallow, or scientifically referred to as “Malva”, is a low growing weed with a deep fleshy tap root.
The plant is totally edible, its leaves can be used as a substitute for lettuce and are an excellent source of vitamins A and C, calcium and iron.",41.122,0,0
40,Mayapple,50,Podophyllum peltatum,"Woodland plants usually growing in colonies derived from a single root. Their stems grow to 30-40cm tall and they have large, deeply cut leaves. All of their parts are poisonous, including the fruit which is covered by the large leaves.
However, once the fruit is ripe, and has turned yellow and soft as opposed to green and firm, you can safely consume it.Woodland plants usually growing in colonies derived from a single root. Their stems grow to 30-40cm tall and they have large, deeply cut leaves. All of their parts are poisonous, including the fruit which is covered by the large leaves.
However, once the fruit is ripe, and has turned yellow and soft as opposed to green and firm, you can safely consume it.",36.178,0,4
20,Meadowsweet,50,Filipendula ulmaria,"Also referred to as “Queen of the Meadow”, “Lady of the Meadow”, or “Bridewort”, this plant is mostly recognized as an herbal medicine.
Judging by its nicknames, I would only hope this plant is grown at royal palaces! It is a large clump-forming plant that usually grows relatively tall. The young leaves are edible.Also referred to as “Queen of the Meadow”, “Lady of the Meadow”, or “Bridewort”, this plant is mostly recognized as an herbal medicine.
Judging by its nicknames, I would only hope this plant is grown at royal palaces! It is a large clump-forming plant that usually grows relatively tall. The young leaves are edible.",57.1388,0,7
57,Milk Thistle,50,Silybum Marianum,"You can identify this thistle by its red to purple flowers and shiny pale green leaves with white veins.
Apart from being a source of food, this plant has medicinal uses such as: increasing appetite, digestion aid, liver cleansing and poisoning treatment.
The root, leaves and stems can all be consumed raw.You can identify this thistle by its red to purple flowers and shiny pale green leaves with white veins.
Apart from being a source of food, this plant has medicinal uses such as: increasing appetite, digestion aid, liver cleansing and poisoning treatment.
The root, leaves and stems can all be consumed raw.",53.3164,2,6
25,Mullein,50, Verbascum thapsus,"An attractive plant with a tender, velvet-like physique. It is a tall, erect stem with soft leaves and yellow flowers at the top.
They are capable of reaching heights of two meters.
Its leaves and flowers are not a bad choice for a snack, although, you would be doing your taste buds more of a favour if they were used to make tea instead.
Never, ever use the seeds. They have a neuro-toxin.An attractive plant with a tender, velvet-like physique. It is a tall, erect stem with soft leaves and yellow flowers at the top.
They are capable of reaching heights of two meters.
Its leaves and flowers are not a bad choice for a snack, although, you would be doing your taste buds more of a favour if they were used to make tea instead.
Never, ever use the seeds. They have a neuro-toxin.",47.2448,0,2
61,New England Aster,50,Symphyotrichum novae-angliae,"Although considered an aggressive weed by some, the New England Aster is praised by others for its extravagant flowers.
The flowers are large and rose-purple in colour with many rays. You can find these beauties in open areas, swamps and fields.
The root, flowers and leaves are edible and are said to provide health benefits.Although considered an aggressive weed by some, the New England Aster is praised by others for its extravagant flowers.
The flowers are large and rose-purple in colour with many rays. You can find these beauties in open areas, swamps and fields.
The root, flowers and leaves are edible and are said to provide health benefits.",43.2904,4,7
27,Partridgeberry,50,Mitchella repens,"A low trailing shrub with fuzzy white flowers that grow in pairs that form one berry per pair. The flowers of this plant emit a pleasant smell when blooming. The leaves and berries are edible, although they are not very tasty. The stems are typically light green to light brown.",49.9752,0,4
22,Peppergrass,150,Lepidium virginicum,"Are you wondering if you’ll need a soothing beverage close-by to eat this plant? Not unless u were to eat the young seedpods which can be used as a substitute for black pepper.
It is easily identified by its raceme which comes from the plant’s branched stem. It also grows between 15 and 60cm long.Are you wondering if you’ll need a soothing beverage close-by to eat this plant? Not unless u were to eat the young seedpods which can be used as a substitute for black pepper.
It is easily identified by its raceme which comes from the plant’s branched stem. It also grows between 15 and 60cm long.",41.57769231,5,3
24,Pickerelweed,50,Pontederia cordata,"This plant grows in shallow freshwater including lakes and streams.
Although tastier when roasted, Pickerelweed seeds can be eaten raw and will surely help out a famished hiker. Its leaves are glossy green with fine parallel veins.
It can be recognized by its violet-blue flowers that bloom during the summertime.This plant grows in shallow freshwater including lakes and streams.
Although tastier when roasted, Pickerelweed seeds can be eaten raw and will surely help out a famished hiker. Its leaves are glossy green with fine parallel veins.
It can be recognized by its violet-blue flowers that bloom during the summertime.",33.00192308,3,10
23,Pineapple Weed,50,Matricaria discoidea,"Judging by its name, I would definitely have high hopes for this plant’s taste. Pineapple weed’s flowers and leaves are, in fact, appetizing finger foods for hikers.
The plant is commonly mistaken for chamomile. It does resemble chamomile with the exception of the flower petals. It grows up to 30cm tall.Judging by its name, I would definitely have high hopes for this plant’s taste. Pineapple weed’s flowers and leaves are, in fact, appetizing finger foods for hikers.
The plant is commonly mistaken for chamomile. It does resemble chamomile with the exception of the flower petals. It grows up to 30cm tall.",42.42076923,0,6
38,Prickly Pear Cactus,50,Opuntia,"A real life-saver if you’re in a prickly situation! The Prickly Pear Cactus is a palatable as well as nutritious plant that is typically found in the deserts of North America.
Its fruit strongly resembles a red or purplish pear. You must be sure to carefully remove the spines on the outer skin before consuming the plant!A real life-saver if you’re in a prickly situation! The Prickly Pear Cactus is a palatable as well as nutritious plant that is typically found in the deserts of North America.
Its fruit strongly resembles a red or purplish pear. You must be sure to carefully remove the spines on the outer skin before consuming the plant!",36.22269231,0,0
60,Purple Deadnettle,100,Lamium purpureum,"cientifically called “Lamium purpureum”, it translates into English as “the devouring purple monster.” Scary!
The plant, in fact, has many medicinal purposes including the use of its leaves for treatment of external wounds or cuts.
It has pink flowers that only last about six weeks after they bloom. Only the leaves of this plant are edible.cientifically called “Lamium purpureum”, it translates into English as “the devouring purple monster.” Scary!
The plant, in fact, has many medicinal purposes including the use of its leaves for treatment of external wounds or cuts.
It has pink flowers that only last about six weeks after they bloom. Only the leaves of this plant are edible.",32.95115385,45,4
59,Queen Annes Lace,50,Daucus carota,"Interesting name for a flower right? The legend tells of Queen Anne pricking her finger and a drop of blood falling on a lace that she was sewing.
Similarly, this plant’s flower resembles a lace, and the single purple dot that is often seen in the middle of the flower resembles the drop of blood!
The leaves and roots are edible but it is advised to use first-year plants. Do not confuse this with Poison hemlock aka. Conium maculatum though!Interesting name for a flower right? The legend tells of Queen Anne pricking her finger and a drop of blood falling on a lace that she was sewing.
Similarly, this plant’s flower resembles a lace, and the single purple dot that is often seen in the middle of the flower resembles the drop of blood!
The leaves and roots are edible but it is advised to use first-year plants. Do not confuse this with Poison hemlock aka. Conium maculatum though!",44.16166667,53,5
26,Red Clover,50,Trifolium pratense,"Along with its many medicinal uses, Red Clovers are considered to be the tastiest of all clovers and will surely make a good find. It has a reddish flower head made up of different tubular-shaped flowers. The leaves are edible but the flower is what I would look forward to consuming!",42.79583333,100,3
28,Sheep Sorrel,50,Rumex acetosella,"Commonly found in acidic, sandy soils and grasslands, this plant typically grows in areas where blueberries can be found. Perhaps in an attempt to get the blueberries’ attention?
Sheep Sorrel leaves can be eaten raw and have a pleasant lemony or tangy flavour. Be sure to look out for its reddish upright stems.",35.80875,46,8
29,Shepherds Purse,100,Capsella bursa-pastoris,"This interestingly-named plant, unlike most flowering plants, flowers almost all year round. It was given its name due to its triangular flat fruits which are purse-like. The leaves of this plant can be eaten raw, which is the healthier option. It is a common weed of cultivated soil in many countries.",38.95769231,106,8
31,Spring Beauty,50,Claytonia virginica,"Along with your significant other in the months of March to May, Claytonia carolinianais also called “Spring Beauty”.
It can be identified by its small flowers produced in the spring which have pink petals, or white petals with darker pink veins.
The root, leaves and stem of the Spring Beauty can be eaten raw.",38.55769231,0,0
30,Sunflower,735,Helianthus annuss,"Scientifically referred to as “Helianthus annuss”, I’m sure a Sunflower would be a happy sight for a hungry hiker.
They grow an average height of one to two meters tall.
Wild Sunflower seeds are very small and can be consumed raw. The wild seeds are much smaller than those used for commercial production.",57.1388,0,0
62,Supplejack Vine,50,Ripogonum scandens,"A vine found only in New Zealand, Australia and New Guinea, Supplejack Vine produces leafy stems that bear flower and fruits once it reaches sunlight.
It can grow extremely long and is likely to grow towards the sunlight through the forest.
The berries it produces, once ripe, can be eaten either raw or cooked as well as its young shoots and leaves. Not at all a bad find for a wandering hiker!",53.3164,0,0
32,Tea Plant,50,Camellia sinensis,"The source of some of the numerous teas we enjoy, the Tea Plant has a life span of 30 to 50 years. Its flower blossoms are white and fragrant, have both male and female organs, and are pollinated by bees. The leaves and flowers can be eaten raw. A very useful plant indeed.",47.2448,0,0
34,Teasel,50,Dipsacus fullonum,"Originally brought to North America from Europe, an average Teasel plant produces over 3000 seeds that birds feed on.
It is a self-fertile plant noted for attracting wildlife. The flowers bloom by first forming in a ring around the plant’s head.
A Teasel’s young leaves are edible after avoiding its spiny, stout hairs.",43.2904,0,0
33,Toothwort,100,Cardamine diphylla,"An unappetizing name, to say the least right? This plant is a member of the mustard family which grows best in moist soils preferably in wooded areas.
Its flowers have four petals which are white to pinkish or light purple. The leaves and roots of this plant are totally edible.",49.9752,0,0
37,Vervain Mallow,50,Malva alcea,"This plant prefers sunny or partially shaded areas and mostly grows in thickets and in waste areas. They can grow from 50cm to over 1 metre tall. Their flowerhave five white to pink petals with five green sepals. The flowers, leaves, and seed are edible, although, it is recommended that only the leaves be eaten raw.",37.0108,64,4
36,Wild Bee Balm,50,Monarda fistulosa,"Identified by its thick lavender flowers, this plant prefers dry and sunny locations to avoid developing mildew. Its fragrant flowers begin to bloom in the centre of the flower head and can be pink in colour depending on its location. The leaves of the Wild Bee Balm are edible and make a safe trail snack for you.",46.974,0,11
14,Wild Black Cherry,50,Prunus serotina,"I bet your taste buds are smiling at the thought of this! PrunusSerotina, more commonly referred to as wild black cherry, is an edible plant that is wise to be consumed in a very small proportion.
This is due to the fact that their seeds contain compounds that can be converted into cyanide.",38.5216,0,4
35,Wild Grape Vine,100,Vitis riparia,"A vining plant with no solid, upright trunk. They grow thicker and higher than most other native vines. A great choice for a trail snack, although, it tastes better after the first frost.
Grape vine leaves are green and lobed with long, pointed tips and a smooth surface. Definitely not a bad find for a hiker.",38.2364,5,0
43,Wild Leek,100,Allium tricoccum,"A North American species of wild onion that grow deep in the woods. It is bulb-forming with broad, smooth, light green leaves.
Be sure to look out for the deep purple or burgundy tints on the lower stem. You can also identify them by their smell, which is similar to that of an onion.
The leaves and bulbs are edible but it is best if you consume them in small quantities.",45.81269231,0,2
7,Wood Sorrel,50,Oxalis acetosella,"This medium-sized plant is an effective thirst quencher and exhilarating snack. A perfect find for a food-deprived hiker right?
The flowers can range from green to bright yellow in colour, and the leaves are a great source of vitamin C.
The leaves, flowers and other parts have a flavour that is slightly sour which may be comparable to lemons.",38.75692308,0,0
